source_file,source_relpath,action,keep_file,reason,approved_by_user
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1990年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1990年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1991年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1991年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1992年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1992年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1993年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1993年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1994年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1994年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1995年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1995年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1996年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1996年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1997年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1997年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1998年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1998年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1999年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1999年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/2000年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/2000年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/2001年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/2001年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/2002年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/2002年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/2003年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/2003年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/2004年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/2004年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/2005年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/2005年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/2006年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/2006年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/2007年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/2007年北京高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/1990年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/1990年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/1991年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/1991年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/1992年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/1992年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/1993年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/1993年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/1994年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/1994年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/1995年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/1995年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/1996年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/1996年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/1997年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/1997年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/1998年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/1998年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/1999年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/1999年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/2000年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/2000年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/2001年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/2001年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/2002年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/2002年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/安徽/2003年安徽高考英语真题及答案.doc,1990-2007·高考英语真题·word/安徽/2003年安徽高考英语真题及答案.doc,retain,,not a conservative cleanup candidate,no
