source_file,source_relpath,extension,size_bytes,candidate_scope,candidate_categories,review_status,review_reason,publication_rule
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1990年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1990年北京高考英语真题及答案.doc,.doc,67584,paper_only_candidate,full_paper_candidate,review_required,path/name indicates a complete examination paper or mock exam,do_not_publish_until_structured_parse_and_answer_analysis_review
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1991年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1991年北京高考英语真题及答案.doc,.doc,50688,paper_only_candidate,full_paper_candidate,review_required,path/name indicates a complete examination paper or mock exam,do_not_publish_until_structured_parse_and_answer_analysis_review
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1992年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1992年北京高考英语真题及答案.doc,.doc,56320,paper_only_candidate,full_paper_candidate,review_required,path/name indicates a complete examination paper or mock exam,do_not_publish_until_structured_parse_and_answer_analysis_review
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1993年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1993年北京高考英语真题及答案.doc,.doc,67584,paper_only_candidate,full_paper_candidate,review_required,path/name indicates a complete examination paper or mock exam,do_not_publish_until_structured_parse_and_answer_analysis_review
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1994年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1994年北京高考英语真题及答案.doc,.doc,55808,paper_only_candidate,full_paper_candidate,review_required,path/name indicates a complete examination paper or mock exam,do_not_publish_until_structured_parse_and_answer_analysis_review
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1995年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1995年北京高考英语真题及答案.doc,.doc,61952,paper_only_candidate,full_paper_candidate,review_required,path/name indicates a complete examination paper or mock exam,do_not_publish_until_structured_parse_and_answer_analysis_review
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1996年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1996年北京高考英语真题及答案.doc,.doc,68608,paper_only_candidate,full_paper_candidate,review_required,path/name indicates a complete examination paper or mock exam,do_not_publish_until_structured_parse_and_answer_analysis_review
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1997年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1997年北京高考英语真题及答案.doc,.doc,61952,paper_only_candidate,full_paper_candidate,review_required,path/name indicates a complete examination paper or mock exam,do_not_publish_until_structured_parse_and_answer_analysis_review
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1998年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1998年北京高考英语真题及答案.doc,.doc,88576,paper_only_candidate,full_paper_candidate,review_required,path/name indicates a complete examination paper or mock exam,do_not_publish_until_structured_parse_and_answer_analysis_review
/Users/shidianjin/Documents/高考英语/1990-2007·高考英语真题·word/北京/1999年北京高考英语真题及答案.doc,1990-2007·高考英语真题·word/北京/1999年北京高考英语真题及答案.doc,.doc,54272,paper_only_candidate,full_paper_candidate,review_required,path/name indicates a complete examination paper or mock exam,do_not_publish_until_structured_parse_and_answer_analysis_review
